[230, 241, 198, 184, 234, 236, 128, 213]
[243, 285, 152, 258, 108, 219, 207, 192]
[259, 144, 154, 257, 255, 271, 193, 131]
[234, 115, 158, 262, 162, 263, 326, 144]
[154, 214, 174, 132, 320, 144, 247, 279]
[210, 227, 304, 197, 155, 155, 264, 152]
[229, 162, 233, 63, 250, 192, 353, 182]
[350, 237, 170, 222, 219, 199, 183, 84]
[318, 385, 148, 60, 111, 357, 187, 98]
[284, 104, 291, 135, 228, 277, 230, 115]
[169, 328, 199, 301, 205, 174, 73, 215]
[219, 184, 369, 8, 205, 320, 251, 108]
[322, 220, 205, 191, 255, 246, 196, 29]
[190, 201, 149, 170, 259, 264, 192, 239]
[217, 241, 76, 330, 137, 235, 237, 191]
[194, 162, 195, 79, 298, 146, 244, 346]
[231, 180, 150, 117, 194, 175, 206, 411]
[279, 248, 267, 114, 211, 202, 193, 150]
[130, 211, 248, 214, 248, 204, 197, 212]
[154, 138, 212, 205, 244, 270, 204, 237]
[144, 260, 243, 177, 160, 285, 185, 210]
[272, 161, 195, 130, 372, 136, 301, 97]
[100, 313, 188, 303, 167, 198, 206, 189]
[277, 140, 332, 164, 109, 172, 219, 251]
[263, 170, 328, 109, 313, 151, 163, 167]
[171, 239, 154, 272, 209, 240, 236, 143]
[144, 300, 274, 149, 172, 238, 164, 223]
[211, 155, 185, 167, 281, 173, 326, 166]
[184, 231, 171, 166, 229, 260, 201, 222]
[223, 261, 228, 109, 254, 195, 196, 198]
[163, 250, 251, 288, 170, 177, 180, 185]
[219, 264, 160, 270, 166, 203, 303, 79]
[230, 241, 198, 184, 234, 232, 128, 217]
[237, 281, 156, 258, 112, 220, 207, 193]
[255, 144, 154, 257, 259, 271, 193, 131]
[238, 111, 158, 266, 162, 263, 326, 140]
[150, 214, 174, 132, 320, 152, 247, 275]
[210, 231, 304, 197, 155, 159, 260, 148]
[229, 162, 233, 63, 250, 192, 353, 182]
[346, 241, 170, 222, 219, 199, 183, 84]
[318, 393, 148, 56, 105, 357, 187, 100]
[280, 104, 292, 139, 232, 272, 230, 115]
[169, 328, 199, 301, 205, 174, 73, 215]
[219, 182, 369, 8, 205, 324, 251, 106]
[326, 220, 205, 191, 255, 246, 192, 29]
[190, 200, 149, 170, 259, 265, 191, 240]
[217, 241, 76, 330, 137, 235, 237, 191]
[197, 162, 195, 79, 295, 146, 240, 350]
[233, 182, 150, 117, 194, 175, 202, 411]
[279, 248, 267, 114, 211, 202, 193, 150]
[130, 211, 248, 214, 248, 204, 197, 212]
[150, 142, 212, 205, 244, 270, 204, 237]
[144, 260, 243, 181, 160, 285, 185, 206]
[276, 160, 195, 130, 369, 132, 305, 97]
[104, 313, 188, 303, 166, 198, 207, 185]
[281, 140, 332, 160, 109, 172, 219, 251]
[259, 170, 328, 109, 313, 152, 162, 171]
[175, 239, 150, 272, 209, 240, 236, 143]
[140, 304, 274, 149, 172, 238, 164, 223]
[211, 155, 185, 167, 281, 173, 326, 166]
[184, 231, 167, 166, 229, 264, 201, 222]
[223, 261, 228, 109, 254, 195, 192, 202]
[167, 250, 251, 284, 170, 177, 179, 186]
[219, 264, 160, 274, 166, 199, 303, 79]
[230, 241, 198, 184, 234, 236, 128, 213]
[241, 281, 152, 262, 108, 220, 211, 189]
[255, 144, 158, 257, 255, 267, 197, 131]
[234, 111, 162, 262, 166, 259, 330, 140]
[150, 214, 174, 132, 320, 152, 247, 275]
[210, 235, 304, 197, 159, 155, 260, 144]
[233, 162, 241, 63, 246, 192, 345, 182]
[351, 244, 166, 222, 215, 199, 183, 84]
[318, 389, 148, 56, 105, 357, 191, 100]
[280, 104, 291, 135, 232, 277, 230, 115]
[169, 328, 199, 301, 205, 174, 73, 215]
[219, 182, 369, 8, 205, 324, 251, 106]
[322, 220, 205, 191, 255, 250, 192, 29]
[190, 197, 149, 170, 259, 266, 190, 243]
[217, 241, 76, 330, 137, 235, 237, 191]
[194, 162, 195, 79, 298, 150, 240, 346]
[229, 186, 150, 117, 194, 175, 202, 411]
[279, 248, 267, 114, 211, 202, 193, 150]
[130, 211, 248, 214, 248, 204, 197, 212]
[154, 138, 212, 205, 244, 270, 204, 237]
[144, 260, 243, 177, 160, 285, 185, 210]
[276, 165, 195, 130, 368, 132, 301, 97]
[100, 317, 184, 303, 166, 198, 209, 187]
[281, 140, 332, 160, 109, 172, 219, 251]
[259, 170, 324, 113, 313, 151, 167, 167]
[171, 239, 150, 276, 209, 240, 236, 143]
[140, 304, 274, 149, 176, 238, 164, 219]
[211, 155, 185, 169, 281, 173, 326, 164]
[184, 227, 167, 166, 229, 264, 201, 226]
[223, 261, 232, 109, 254, 191, 196, 198]
[167, 250, 254, 284, 170, 177, 180, 182]
[219, 264, 156, 274, 170, 199, 303, 79]
[230, 241, 198, 184, 234, 232, 128, 217]
[237, 289, 152, 262, 108, 220, 207, 189]
[255, 140, 154, 257, 259, 271, 193, 135]
[238, 111, 162, 262, 162, 259, 326, 144]
[150, 222, 174, 132, 316, 144, 251, 275]
[206, 227, 304, 197, 159, 159, 268, 144]
[229, 162, 233, 67, 246, 196, 349, 182]
[350, 237, 166, 222, 215, 199, 183, 92]
[318, 385, 152, 56, 109, 357, 183, 104]
[278, 104, 295, 137, 228, 277, 230, 115]
[169, 328, 199, 301, 205, 174, 73, 215]
[219, 182, 369, 8, 205, 324, 251, 106]
[326, 220, 205, 191, 255, 246, 192, 29]
[190, 197, 149, 170, 259, 265, 195, 239]
[217, 241, 76, 330, 137, 235, 237, 191]
[194, 162, 203, 79, 290, 150, 240, 346]
[233, 182, 150, 117, 194, 175, 202, 411]
[279, 248, 267, 114, 211, 202, 193, 150]
[130, 211, 248, 214, 248, 204, 197, 212]
[150, 142, 212, 205, 244, 274, 204, 233]
[144, 264, 239, 177, 164, 285, 185, 206]
[280, 161, 195, 130, 368, 132, 301, 97]
[100, 317, 188, 303, 163, 198, 210, 185]
[281, 140, 332, 160, 109, 172, 219, 251]
[259, 170, 325, 113, 313, 154, 163, 167]
[171, 242, 150, 276, 209, 240, 233, 143]
[140, 304, 274, 149, 172, 238, 168, 219]
[211, 155, 185, 167, 285, 173, 326, 162]
[186, 229, 167, 166, 233, 264, 201, 218]
[223, 261, 230, 109, 254, 193, 193, 201]
[167, 250, 254, 284, 170, 177, 177, 185]
[219, 264, 160, 274, 166, 199, 303, 79]
[172, 208, 104, 160, 128, 192, 64, 220]
[144, 209, 113, 226, 136, 148, 164, 108]
[191, 157, 105, 88, 197, 194, 136, 180]
[141, 120, 120, 170, 250, 190, 160, 97]
[118, 202, 129, 94, 247, 125, 192, 141]
[160, 128, 124, 189, 182, 104, 196, 165]
[131, 104, 259, 127, 96, 166, 205, 160]
[171, 154, 239, 77, 217, 89, 222, 79]
[299, 152, 122, 91, 248, 211, 49, 76]
[115, 112, 285, 96, 104, 334, 146, 56]
[148, 263, 96, 262, 161, 206, 32, 80]
[185, 121, 181, 8, 143, 282, 177, 151]
[166, 82, 235, 113, 220, 160, 249, 23]
[86, 116, 96, 102, 194, 238, 236, 180]
[145, 153, 80, 228, 108, 179, 222, 133]
[73, 83, 172, 41, 175, 255, 231, 218]
[154, 185, 140, 75, 146, 111, 144, 293]
[202, 199, 252, 72, 205, 99, 131, 88]
[117, 145, 178, 179, 107, 195, 180, 147]
[135, 75, 145, 153, 180, 205, 157, 198]
[148, 184, 145, 86, 212, 191, 97, 185]
[102, 167, 87, 193, 185, 112, 230, 172]
[70, 214, 78, 178, 184, 203, 136, 185]
[145, 205, 132, 71, 142, 152, 178, 223]
[243, 114, 242, 149, 106, 99, 169, 126]
[218, 164, 80, 245, 153, 204, 111, 73]
